,MAE,MSE,RMSE,R2
XGBoost,17.122318998135764,878.6953516623659,29.642795948802902,0.8477287441138148
Random Forest,18.068911947227363,941.8300114860497,30.689249118967535,0.8367879852682014
Linear Regression,28.719349990876182,2548.9199901757333,50.48682986854823,0.5582914518402988
